service,method,path_norm,fe_files,be_files,notes
public-api,GET,/CONTENT/FAQS,,bthwani-project-main/backend-nest/src/modules/content/content.controller.ts,BE-ONLY
public-api,GET,/CONTENT/MY-SUBSCRIPTION,,bthwani-project-main/backend-nest/src/modules/content/content.controller.ts,BE-ONLY
public-api,GET,/CONTENT/PAGES,,bthwani-project-main/backend-nest/src/modules/content/content.controller.ts,BE-ONLY
public-api,GET,/CONTENT/PAGES/{PARAM},,bthwani-project-main/backend-nest/src/modules/content/content.controller.ts,BE-ONLY
public-api,GET,/CONTENT/STORES/{PARAM}/SECTIONS,,bthwani-project-main/backend-nest/src/modules/content/content.controller.ts,BE-ONLY
public-api,GET,/CONTENT/SUBSCRIPTION-PLANS,,bthwani-project-main/backend-nest/src/modules/content/content.controller.ts,BE-ONLY
public-api,GET,/COUNT,,bthwani-project-main/backend-nest/src/modules/cart/cart.controller.ts,BE-ONLY
public-api,GET,/COUPONS/HISTORY,,bthwani-project-main/backend-nest/src/modules/wallet/v2-wallet.controller.ts,BE-ONLY
public-api,GET,/COUPONS/MY,,bthwani-project-main/backend-nest/src/modules/wallet/v2-wallet.controller.ts,BE-ONLY
public-api,GET,/DASHBOARD,,bthwani-project-main/backend-nest/FINAL_ACTION_PLAN.md;bthwani-project-main/backend-nest/NEXT_IMMEDIATE_STEPS.md,BE-ONLY
public-api,GET,/DASHBOARD/ALERTS,,bthwani-project-main/backend-nest/reports/fe_orphans_fixes.json;bthwani-project-main/backend-nest/reports/fe_orphans_fixes.md,BE-ONLY
public-api,GET,/DASHBOARD/SUMMARY,,bthwani-project-main/backend-nest/reports/fe_orphans_fixes.json;bthwani-project-main/backend-nest/reports/fe_orphans_fixes.md,BE-ONLY
public-api,GET,/DASHBOARD/SUPPORT-TICKETS,,bthwani-project-main/backend-nest/reports/fe_orphans_fixes.json;bthwani-project-main/backend-nest/reports/fe_orphans_fixes.md,BE-ONLY
public-api,GET,/DASHBOARD/TIMESERIES,,bthwani-project-main/backend-nest/reports/fe_orphans_fixes.json;bthwani-project-main/backend-nest/reports/fe_orphans_fixes.md,BE-ONLY
public-api,GET,/DASHBOARD/TOP,,bthwani-project-main/backend-nest/reports/fe_orphans_fixes.json;bthwani-project-main/backend-nest/reports/fe_orphans_fixes.md,BE-ONLY
public-api,GET,/DELIVERY/BANNERS/ADMIN,bthwani-project-main/admin-dashboard/src/pages/delivery/DeliveryBannersPage.tsx,bthwani-project-main/backend-nest/reports/fe_orphans_fixes.json;bthwani-project-main/backend-nest/reports/fe_orphans_fixes.md,OK
public-api,GET,/DELIVERY/CART/FEE,bthwani-project-main/app-user/src/screens/delivery/InvoiceScreen.tsx,,FE-ONLY
public-api,GET,/DELIVERY/CATEGORIES,bthwani-project-main/admin-dashboard/src/pages/delivery/DeliveryBannersPage.tsx;bthwani-project-main/app-user/src/components/CategoriesChips.tsx;bthwani-project-main/bthwani-web/src/pages/delivery/Home.tsx,bthwani-project-main/backend-nest/reports/fe_orphans_fixes.json;bthwani-project-main/backend-nest/reports/fe_orphans_fixes.md,OK
public-api,GET,/DELIVERY/DEALS,bthwani-project-main/bthwani-web/src/pages/delivery/Home.tsx,,FE-ONLY
public-api,GET,/DELIVERY/ORDER,bthwani-project-main/admin-dashboard/src/api/orders.ts,,FE-ONLY
public-api,GET,/DELIVERY/ORDER/EXPORT,bthwani-project-main/admin-dashboard/src/api/orders.ts,,FE-ONLY
public-api,GET,/DELIVERY/ORDER/MY-ORDERS,bthwani-project-main/app-user/src/api/orders.ts,,FE-ONLY
public-api,GET,/DELIVERY/ORDER/VENDOR/ORDERS,bthwani-project-main/vendor-app/src/screens/OrdersScreen.tsx;bthwani-project-main/vendor-app/src/screens/StatisticsScreen.tsx,,FE-ONLY
public-api,GET,/DELIVERY/PROMOTIONS,bthwani-project-main/bthwani-web/src/pages/delivery/Home.tsx,,FE-ONLY
public-api,GET,/DELIVERY/PROMOTIONS/BY-STORES,bthwani-project-main/app-user/src/screens/delivery/GroceryScreen.tsx;bthwani-project-main/bthwani-web/src/pages/delivery/GroceryScreen.tsx;bthwani-project-main/bthwani-web/src/pages/delivery/Home.tsx,,FE-ONLY
public-api,GET,/DELIVERY/STORES,bthwani-project-main/admin-dashboard/src/pages/admin/AdminVendorCreatePage.tsx;bthwani-project-main/admin-dashboard/src/pages/admin/groceries/MerchantProductsPage.tsx;bthwani-project-main/admin-dashboard/src/pages/admin/onboarding/usePendingActivations.ts;bthwani-project-main/admin-dashboard/src/pages/delivery/DeliveryBannersPage.tsx;bthwani-project-main/bthwani-web/src/pages/delivery/Home.tsx,,FE-ONLY
public-api,GET,/DELIVERY/STORES/SEARCH,bthwani-project-main/app-user/src/screens/delivery/DeliverySearch.tsx,,FE-ONLY
public-api,GET,/DELIVERY/STORES/{PARAM},,bthwani-project-main/backend-nest/reports/ROUTE_DUPLICATES_FIX_PLAN.md,BE-ONLY
public-api,GET,/DELIVERY/STORES/{PARAM}/PRODUCTS,,bthwani-project-main/backend-nest/reports/ROUTE_DUPLICATES_FIX_PLAN.md,BE-ONLY
public-api,GET,/DLQ/STATS,,bthwani-project-main/backend-nest/src/modules/notification/dlq.controller.ts,BE-ONLY
public-api,GET,/DOCUMENTS/EXPORT,,bthwani-project-main/backend-nest/src/modules/er/er.controller.ts;bthwani-project-main/backend-nest/stub-endpoints/er-stubs.ts,BE-ONLY
