file,method,path,normalized_path
bthwani-project-main/backend-nest/reports/openapi.json,GET,/,/
bthwani-project-main/backend-nest/reports/openapi.json,POST,/auth/firebase/login,/AUTH/FIREBASE/LOGIN
bthwani-project-main/backend-nest/reports/openapi.json,POST,/auth/consent,/AUTH/CONSENT
bthwani-project-main/backend-nest/reports/openapi.json,POST,/auth/consent/bulk,/AUTH/CONSENT/BULK
bthwani-project-main/backend-nest/reports/openapi.json,DELETE,/auth/consent/{type},/AUTH/CONSENT/{PARAM}
bthwani-project-main/backend-nest/reports/openapi.json,GET,/auth/consent/history,/AUTH/CONSENT/HISTORY
bthwani-project-main/backend-nest/reports/openapi.json,GET,/auth/consent/summary,/AUTH/CONSENT/SUMMARY
bthwani-project-main/backend-nest/reports/openapi.json,GET,/auth/consent/check/{type},/AUTH/CONSENT/CHECK/{PARAM}
bthwani-project-main/backend-nest/reports/openapi.json,POST,/auth/forgot,/AUTH/FORGOT
bthwani-project-main/backend-nest/reports/openapi.json,POST,/auth/reset/verify,/AUTH/RESET/VERIFY
bthwani-project-main/backend-nest/reports/openapi.json,POST,/auth/reset,/AUTH/RESET
bthwani-project-main/backend-nest/reports/openapi.json,POST,/auth/verify-otp,/AUTH/VERIFY-OTP
bthwani-project-main/backend-nest/reports/openapi.json,GET,/wallet/balance,/WALLET/BALANCE
bthwani-project-main/backend-nest/reports/openapi.json,GET,/wallet/transactions,/WALLET/TRANSACTIONS
bthwani-project-main/backend-nest/reports/openapi.json,POST,/wallet/transaction,/WALLET/TRANSACTION
bthwani-project-main/backend-nest/reports/openapi.json,POST,/wallet/hold,/WALLET/HOLD
bthwani-project-main/backend-nest/reports/openapi.json,POST,/wallet/release,/WALLET/RELEASE
bthwani-project-main/backend-nest/reports/openapi.json,POST,/wallet/refund,/WALLET/REFUND
bthwani-project-main/backend-nest/reports/openapi.json,POST,/wallet/topup/kuraimi,/WALLET/TOPUP/KURAIMI
bthwani-project-main/backend-nest/reports/openapi.json,POST,/wallet/topup/verify,/WALLET/TOPUP/VERIFY
bthwani-project-main/backend-nest/reports/openapi.json,GET,/wallet/topup/history,/WALLET/TOPUP/HISTORY
bthwani-project-main/backend-nest/reports/openapi.json,GET,/wallet/topup/methods,/WALLET/TOPUP/METHODS
bthwani-project-main/backend-nest/reports/openapi.json,POST,/wallet/withdraw/request,/WALLET/WITHDRAW/REQUEST
bthwani-project-main/backend-nest/reports/openapi.json,GET,/wallet/withdraw/my,/WALLET/WITHDRAW/MY
bthwani-project-main/backend-nest/reports/openapi.json,PATCH,/wallet/withdraw/{id}/cancel,/WALLET/WITHDRAW/{PARAM}/CANCEL
bthwani-project-main/backend-nest/reports/openapi.json,GET,/wallet/withdraw/methods,/WALLET/WITHDRAW/METHODS
bthwani-project-main/backend-nest/reports/openapi.json,POST,/wallet/pay-bill,/WALLET/PAY-BILL
bthwani-project-main/backend-nest/reports/openapi.json,GET,/wallet/bills,/WALLET/BILLS
bthwani-project-main/backend-nest/reports/openapi.json,POST,/wallet/transfer,/WALLET/TRANSFER
bthwani-project-main/backend-nest/reports/openapi.json,GET,/wallet/transfers,/WALLET/TRANSFERS
bthwani-project-main/backend-nest/reports/openapi.json,GET,/wallet/transaction/{id},/WALLET/TRANSACTION/{PARAM}
bthwani-project-main/backend-nest/reports/openapi.json,POST,/wallet/refund/request,/WALLET/REFUND/REQUEST
bthwani-project-main/backend-nest/reports/openapi.json,POST,/v2/wallet/coupons/apply,/V2/WALLET/COUPONS/APPLY
bthwani-project-main/backend-nest/reports/openapi.json,GET,/v2/wallet/coupons/my,/V2/WALLET/COUPONS/MY
bthwani-project-main/backend-nest/reports/openapi.json,GET,/v2/wallet/coupons/history,/V2/WALLET/COUPONS/HISTORY
bthwani-project-main/backend-nest/reports/openapi.json,GET,/v2/wallet/subscriptions/my,/V2/WALLET/SUBSCRIPTIONS/MY
bthwani-project-main/backend-nest/reports/openapi.json,GET,/delivery/order,/DELIVERY/ORDER
bthwani-project-main/backend-nest/reports/openapi.json,POST,/delivery/order,/DELIVERY/ORDER
bthwani-project-main/backend-nest/reports/openapi.json,GET,/delivery/order/user/{userId},/DELIVERY/ORDER/USER/{PARAM}
bthwani-project-main/backend-nest/reports/openapi.json,GET,/delivery/order/my-orders,/DELIVERY/ORDER/MY-ORDERS
bthwani-project-main/backend-nest/reports/openapi.json,GET,/delivery/order/{id},/DELIVERY/ORDER/{PARAM}
bthwani-project-main/backend-nest/reports/openapi.json,POST,/delivery/order/{id}/assign-driver,/DELIVERY/ORDER/{PARAM}/ASSIGN-DRIVER
bthwani-project-main/backend-nest/reports/openapi.json,POST,/delivery/order/{id}/notes,/DELIVERY/ORDER/{PARAM}/NOTES
bthwani-project-main/backend-nest/reports/openapi.json,GET,/delivery/order/{id}/notes,/DELIVERY/ORDER/{PARAM}/NOTES
bthwani-project-main/backend-nest/reports/openapi.json,GET,/delivery/order/vendor/orders,/DELIVERY/ORDER/VENDOR/ORDERS
bthwani-project-main/backend-nest/reports/openapi.json,POST,/delivery/order/{id}/vendor-accept,/DELIVERY/ORDER/{PARAM}/VENDOR-ACCEPT
