surface,file,client,method,path,normalized_path
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/payments.ts,api,GET,/admin/payments/stats/overview,/ADMIN/PAYMENTS/STATS/OVERVIEW
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/promotions.ts,axiosInstance,GET,/promotions/stats/overview,/PROMOTIONS/STATS/OVERVIEW
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/reports.ts,axiosInstance,POST,/admin/reports/generate,/ADMIN/REPORTS/GENERATE
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/reports.ts,axiosInstance,GET,/admin/reports/realtime,/ADMIN/REPORTS/REALTIME
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/sanad.ts,api,GET,/admin/sanad,/ADMIN/SANAD
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/sanad.ts,api,GET,/admin/sanad/stats/overview,/ADMIN/SANAD/STATS/OVERVIEW
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/settlements.ts,axiosInstance,GET,/admin/wallet/settlements/export,/ADMIN/WALLET/SETTLEMENTS/EXPORT
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/vendors.ts,axiosInstance,GET,/vendors,/VENDORS
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/wallet.ts,axiosInstance,POST,/v2/wallet/hold,/V2/WALLET/HOLD
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/wallet.ts,axiosInstance,POST,/v2/wallet/release,/V2/WALLET/RELEASE
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/api/wallet.ts,axiosInstance,POST,/v2/wallet/refund,/V2/WALLET/REFUND
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/hook/useAdminUser.ts,axios,GET,/admin/me,/ADMIN/ME
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/hook/useFeatures.ts,axios,GET,/features,/FEATURES
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/landing/pages/BecomeCaptainPage.tsx,axios,POST,/api/leads/captain,/API/LEADS/CAPTAIN
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/landing/pages/ContactPage.tsx,axios,POST,/api/support/contact,/API/SUPPORT/CONTACT
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/landing/pages/ForMerchantsPage.tsx,axios,POST,/api/leads/merchant,/API/LEADS/MERCHANT
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/AdminCampaignsPanel.tsx,v,DELETE,user,/USER
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/AdminCampaignsPanel.tsx,v,DELETE,driver,/DRIVER
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/AdminCampaignsPanel.tsx,v,DELETE,vendor,/VENDOR
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/AdminDriversPage.tsx,axios,GET,/admin/drivers,/ADMIN/DRIVERS
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/AdminDriversPage.tsx,axios,POST,/admin/drivers,/ADMIN/DRIVERS
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/AdminVendorCreatePage.tsx,axios,GET,/admin/vendors,/ADMIN/VENDORS
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/AdminVendorCreatePage.tsx,axios,GET,/delivery/stores,/DELIVERY/STORES
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/AdminVendorCreatePage.tsx,axios,POST,/vendor,/VENDOR
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/AppearanceSettingsPage.tsx,axios,GET,/admin/settings/appearance,/ADMIN/SETTINGS/APPEARANCE
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/AppearanceSettingsPage.tsx,axios,PUT,/admin/settings/appearance,/ADMIN/SETTINGS/APPEARANCE
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/OverviewPage.tsx,axios,GET,/admin/dashboard/summary,/ADMIN/DASHBOARD/SUMMARY
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/OverviewPage.tsx,axios,GET,/admin/dashboard/timeseries,/ADMIN/DASHBOARD/TIMESERIES
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/OverviewPage.tsx,axios,GET,/admin/dashboard/top,/ADMIN/DASHBOARD/TOP
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/OverviewPage.tsx,axios,GET,/admin/dashboard/alerts,/ADMIN/DASHBOARD/ALERTS
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/UserManagement.tsx,axios,GET,/admin/users/list,/ADMIN/USERS/LIST
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/UserManagement.tsx,axios,POST,/admin/users,/ADMIN/USERS
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/UsersListPage.tsx,axios,GET,/admin/users/list,/ADMIN/USERS/LIST
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/admins/api.ts,axios,GET,/admin/modules,/ADMIN/MODULES
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/admins/api.ts,axios,GET,/admin/list,/ADMIN/LIST
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/admins/api.ts,axios,POST,/admin/create,/ADMIN/CREATE
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/commission/useCommissionPlans.ts,api,POST,/admin/commission-plans,/ADMIN/COMMISSION-PLANS
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/finance/CommissionSettingsPage.tsx,axios,GET,/finance/commissions/settings,/FINANCE/COMMISSIONS/SETTINGS
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/finance/CommissionSettingsPage.tsx,axios,GET,/finance/commissions/audit-log,/FINANCE/COMMISSIONS/AUDIT-LOG
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/finance/CommissionSettingsPage.tsx,axios,POST,/finance/commissions/settings,/FINANCE/COMMISSIONS/SETTINGS
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/groceries/MerchantProductsPage.tsx,axios,GET,/delivery/stores,/DELIVERY/STORES
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/marketing/AdminCouponsPage.tsx,api,GET,admin/wallet/coupons,/ADMIN/WALLET/COUPONS
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/marketing/AdminCouponsPage.tsx,api,POST,/wallet/coupons,/WALLET/COUPONS
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/onboarding/usePendingActivations.ts,api,GET,/admin/pending-activations,/ADMIN/PENDING-ACTIVATIONS
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/onboarding/usePendingActivations.ts,api,GET,/delivery/stores,/DELIVERY/STORES
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/onboarding/usePendingActivations.ts,api,GET,/admin/vendors,/ADMIN/VENDORS
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/ops/OpsDriversDashboard.tsx,axios,GET,/admin/ops/drivers/realtime,/ADMIN/OPS/DRIVERS/REALTIME
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/ops/OpsDriversDashboard.tsx,axios,GET,/admin/ops/heatmap,/ADMIN/OPS/HEATMAP
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/pricing/PricingStrategiesPage.tsx,axios,GET,/pricing-strategies,/PRICING-STRATEGIES
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/pricing/PricingStrategiesPage.tsx,axios,POST,/pricing-strategies,/PRICING-STRATEGIES
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/reports/useMarketerReports.ts,api,GET,/reports/marketers/overview,/REPORTS/MARKETERS/OVERVIEW
ADMIN-DASH,bthwani-project-main/admin-dashboard/src/pages/admin/support/SupportTicketsPage.tsx,axios,GET,/admin/support/stats,/ADMIN/SUPPORT/STATS
